,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,params,split0_test_score,split1_test_score,mean_test_score,std_test_score,rank_test_score
0,0.0025023221969604492,0.0002244710922241211,0.0002321004867553711,1.704692840576172e-05,0.01,{'C': 0.01},0.85,0.975,0.9125,0.0625,1
1,0.0024695396423339844,5.245208740234375e-05,0.00021195411682128906,5.0067901611328125e-06,0.027825594022071243,{'C': 0.027825594022071243},0.85,0.975,0.9125,0.0625,1
2,0.0021669864654541016,7.104873657226562e-05,0.00019788742065429688,1.2874603271484375e-05,0.0774263682681127,{'C': 0.0774263682681127},0.85,0.95,0.8999999999999999,0.04999999999999999,3
3,0.00232696533203125,0.0001239776611328125,0.0002943277359008789,9.548664093017578e-05,0.21544346900318834,{'C': 0.21544346900318834},0.85,0.95,0.8999999999999999,0.04999999999999999,3
4,0.0027533769607543945,1.4424324035644531e-05,0.00018095970153808594,9.5367431640625e-07,0.5994842503189409,{'C': 0.5994842503189409},0.85,0.95,0.8999999999999999,0.04999999999999999,3
5,0.0035462379455566406,0.0009515285491943359,0.0002282857894897461,3.993511199951172e-05,1.6681005372000592,{'C': 1.6681005372000592},0.85,0.925,0.8875,0.03750000000000003,6
6,0.0038216114044189453,0.0004925727844238281,0.00022530555725097656,5.4836273193359375e-06,4.6415888336127775,{'C': 4.6415888336127775},0.85,0.925,0.8875,0.03750000000000003,6
7,0.003896474838256836,0.0006055831909179688,0.00020205974578857422,6.079673767089844e-06,12.915496650148826,{'C': 12.915496650148826},0.85,0.925,0.8875,0.03750000000000003,6
8,0.003556370735168457,0.000527501106262207,0.0002014636993408203,2.1457672119140625e-05,35.93813663804626,{'C': 35.93813663804626},0.85,0.925,0.8875,0.03750000000000003,6
9,0.0035619735717773438,0.0008509159088134766,0.00019943714141845703,1.8477439880371094e-05,100.0,{'C': 100.0},0.85,0.925,0.8875,0.03750000000000003,6
